iter	Passed	Remaining
0	141	141468
1	146	72980
2	150	50160
3	155	38733
4	160	31855
5	164	27334
6	168	23862
7	171	21218
8	173	19094
9	175	17364
10	177	15958
11	179	14758
12	180	13726
13	182	12844
14	183	12076
15	185	11397
16	186	10789
17	187	10249
18	189	9765
19	190	9329
20	191	8935
21	192	8578
22	194	8248
23	195	7945
24	196	7668
25	197	7415
26	199	7179
27	200	6961
28	201	6760
29	203	6577
30	204	6397
31	205	6229
32	207	6071
33	208	5921
34	209	5779
35	210	5648
36	212	5522
37	213	5404
38	214	5292
39	216	5185
40	217	5088
41	218	4991
42	220	4900
43	221	4811
44	222	4726
45	224	4647
46	225	4570
47	226	4496
48	227	4424
49	229	4355
50	230	4288
51	231	4227
52	233	4166
53	234	4107
54	235	4050
55	237	3995
56	238	3942
57	239	3890
58	240	3841
59	242	3792
60	243	3745
61	244	3701
62	245	3657
63	247	3614
64	248	3574
65	249	3534
66	251	3495
67	252	3458
68	253	3420
69	254	3384
70	255	3348
71	257	3314
72	258	3280
73	259	3249
74	260	3217
75	262	3187
76	263	3157
77	264	3128
78	265	3100
79	267	3071
80	268	3043
81	269	3016
82	270	2985
83	271	2959
84	272	2935
85	273	2911
86	275	2888
87	276	2865
88	277	2843
89	279	2821
90	280	2799
91	281	2777
92	282	2756
93	283	2736
94	285	2716
95	286	2699
96	288	2681
97	289	2662
98	290	2644
99	291	2626
100	293	2608
101	294	2590
102	295	2573
103	296	2557
104	298	2541
105	299	2525
106	300	2511
107	302	2495
108	303	2481
109	304	2465
110	306	2451
111	307	2436
112	308	2421
113	309	2408
114	311	2394
115	312	2381
116	313	2365
117	314	2354
118	316	2344
119	318	2334
120	320	2325
121	321	2313
122	323	2303
123	324	2291
124	325	2279
125	326	2267
126	327	2254
127	329	2243
128	330	2233
129	332	2222
130	333	2210
131	334	2199
132	335	2188
133	337	2178
134	338	2167
135	339	2157
136	340	2147
137	342	2137
138	343	2128
139	344	2118
140	346	2109
141	347	2097
142	348	2088
143	349	2078
144	350	2069
145	352	2060
146	353	2051
147	354	2042
148	356	2034
149	358	2032
150	360	2025
151	361	2017
152	364	2016
153	366	2013
154	368	2008
155	371	2007
156	378	2030
157	380	2028
158	382	2023
159	384	2019
160	386	2015
161	388	2011
162	391	2007
163	392	2003
164	394	1997
165	396	1992
166	398	1986
167	400	1981
168	402	1976
169	403	1972
170	406	1970
